time,year,month,quarter,day,hour,week,t
14/01/2017 10:00,2017,jan,1,14,10,w2,323
14/01/2017 11:00,2017,jan,1,14,11,w2,324
14/01/2017 12:00,2017,jan,1,14,12,w2,325
14/01/2017 13:00,2017,jan,1,14,13,w2,326
14/01/2017 14:00,2017,jan,1,14,14,w2,327
14/01/2017 15:00,2017,jan,1,14,15,w2,328
14/01/2017 16:00,2017,jan,1,14,16,w2,329
14/01/2017 17:00,2017,jan,1,14,17,w2,330
14/01/2017 18:00,2017,jan,1,14,18,w2,331
14/01/2017 19:00,2017,jan,1,14,19,w2,332
14/01/2017 20:00,2017,jan,1,14,20,w2,333
14/01/2017 21:00,2017,jan,1,14,21,w2,334
14/01/2017 22:00,2017,jan,1,14,22,w2,335
14/01/2017 23:00,2017,jan,1,14,23,w2,336
15/01/2017 00:00,2017,jan,1,15,0,w3,337
15/01/2017 01:00,2017,jan,1,15,1,w3,338
15/01/2017 02:00,2017,jan,1,15,2,w3,339
15/01/2017 03:00,2017,jan,1,15,3,w3,340
15/01/2017 04:00,2017,jan,1,15,4,w3,341
15/01/2017 05:00,2017,jan,1,15,5,w3,342
15/01/2017 06:00,2017,jan,1,15,6,w3,343
15/01/2017 07:00,2017,jan,1,15,7,w3,344
15/01/2017 08:00,2017,jan,1,15,8,w3,345
15/01/2017 09:00,2017,jan,1,15,9,w3,346
15/01/2017 10:00,2017,jan,1,15,10,w3,347
15/01/2017 11:00,2017,jan,1,15,11,w3,348
15/01/2017 12:00,2017,jan,1,15,12,w3,349
15/01/2017 13:00,2017,jan,1,15,13,w3,350
15/01/2017 14:00,2017,jan,1,15,14,w3,351
15/01/2017 15:00,2017,jan,1,15,15,w3,352
15/01/2017 16:00,2017,jan,1,15,16,w3,353
15/01/2017 17:00,2017,jan,1,15,17,w3,354
15/01/2017 18:00,2017,jan,1,15,18,w3,355
15/01/2017 19:00,2017,jan,1,15,19,w3,356
15/01/2017 20:00,2017,jan,1,15,20,w3,357
15/01/2017 21:00,2017,jan,1,15,21,w3,358
15/01/2017 22:00,2017,jan,1,15,22,w3,359
15/01/2017 23:00,2017,jan,1,15,23,w3,360
16/01/2017 00:00,2017,jan,1,16,0,w3,361
16/01/2017 01:00,2017,jan,1,16,1,w3,362
16/01/2017 02:00,2017,jan,1,16,2,w3,363
16/01/2017 03:00,2017,jan,1,16,3,w3,364
16/01/2017 04:00,2017,jan,1,16,4,w3,365
16/01/2017 05:00,2017,jan,1,16,5,w3,366
16/01/2017 06:00,2017,jan,1,16,6,w3,367
16/01/2017 07:00,2017,jan,1,16,7,w3,368
16/01/2017 08:00,2017,jan,1,16,8,w3,369
16/01/2017 09:00,2017,jan,1,16,9,w3,370
16/01/2017 10:00,2017,jan,1,16,10,w3,371
16/01/2017 11:00,2017,jan,1,16,11,w3,372
16/01/2017 12:00,2017,jan,1,16,12,w3,373
16/01/2017 13:00,2017,jan,1,16,13,w3,374
16/01/2017 14:00,2017,jan,1,16,14,w3,375
16/01/2017 15:00,2017,jan,1,16,15,w3,376
16/01/2017 16:00,2017,jan,1,16,16,w3,377
16/01/2017 17:00,2017,jan,1,16,17,w3,378
16/01/2017 18:00,2017,jan,1,16,18,w3,379
16/01/2017 19:00,2017,jan,1,16,19,w3,380
16/01/2017 20:00,2017,jan,1,16,20,w3,381
16/01/2017 21:00,2017,jan,1,16,21,w3,382
16/01/2017 22:00,2017,jan,1,16,22,w3,383
16/01/2017 23:00,2017,jan,1,16,23,w3,384
17/01/2017 00:00,2017,jan,1,17,0,w3,385
17/01/2017 01:00,2017,jan,1,17,1,w3,386
17/01/2017 02:00,2017,jan,1,17,2,w3,387
17/01/2017 03:00,2017,jan,1,17,3,w3,388
17/01/2017 04:00,2017,jan,1,17,4,w3,389
17/01/2017 05:00,2017,jan,1,17,5,w3,390
17/01/2017 06:00,2017,jan,1,17,6,w3,391
17/01/2017 07:00,2017,jan,1,17,7,w3,392
17/01/2017 08:00,2017,jan,1,17,8,w3,393
17/01/2017 09:00,2017,jan,1,17,9,w3,394
17/01/2017 10:00,2017,jan,1,17,10,w3,395
17/01/2017 11:00,2017,jan,1,17,11,w3,396
17/01/2017 12:00,2017,jan,1,17,12,w3,397
17/01/2017 13:00,2017,jan,1,17,13,w3,398
17/01/2017 14:00,2017,jan,1,17,14,w3,399
17/01/2017 15:00,2017,jan,1,17,15,w3,400
17/01/2017 16:00,2017,jan,1,17,16,w3,401
17/01/2017 17:00,2017,jan,1,17,17,w3,402
17/01/2017 18:00,2017,jan,1,17,18,w3,403
17/01/2017 19:00,2017,jan,1,17,19,w3,404
17/01/2017 20:00,2017,jan,1,17,20,w3,405
17/01/2017 21:00,2017,jan,1,17,21,w3,406
17/01/2017 22:00,2017,jan,1,17,22,w3,407
17/01/2017 23:00,2017,jan,1,17,23,w3,408
18/01/2017 00:00,2017,jan,1,18,0,w3,409
18/01/2017 01:00,2017,jan,1,18,1,w3,410
18/01/2017 02:00,2017,jan,1,18,2,w3,411
18/01/2017 03:00,2017,jan,1,18,3,w3,412
18/01/2017 04:00,2017,jan,1,18,4,w3,413
18/01/2017 05:00,2017,jan,1,18,5,w3,414
18/01/2017 06:00,2017,jan,1,18,6,w3,415
18/01/2017 07:00,2017,jan,1,18,7,w3,416
18/01/2017 08:00,2017,jan,1,18,8,w3,417
18/01/2017 09:00,2017,jan,1,18,9,w3,418
18/01/2017 10:00,2017,jan,1,18,10,w3,419
18/01/2017 11:00,2017,jan,1,18,11,w3,420
18/01/2017 12:00,2017,jan,1,18,12,w3,421
18/01/2017 13:00,2017,jan,1,18,13,w3,422
18/01/2017 14:00,2017,jan,1,18,14,w3,423
18/01/2017 15:00,2017,jan,1,18,15,w3,424
18/01/2017 16:00,2017,jan,1,18,16,w3,425
18/01/2017 17:00,2017,jan,1,18,17,w3,426
18/01/2017 18:00,2017,jan,1,18,18,w3,427
18/01/2017 19:00,2017,jan,1,18,19,w3,428
18/01/2017 20:00,2017,jan,1,18,20,w3,429
18/01/2017 21:00,2017,jan,1,18,21,w3,430
18/01/2017 22:00,2017,jan,1,18,22,w3,431
18/01/2017 23:00,2017,jan,1,18,23,w3,432
19/01/2017 00:00,2017,jan,1,19,0,w3,433
19/01/2017 01:00,2017,jan,1,19,1,w3,434
19/01/2017 02:00,2017,jan,1,19,2,w3,435
19/01/2017 03:00,2017,jan,1,19,3,w3,436
19/01/2017 04:00,2017,jan,1,19,4,w3,437
19/01/2017 05:00,2017,jan,1,19,5,w3,438
19/01/2017 06:00,2017,jan,1,19,6,w3,439
19/01/2017 07:00,2017,jan,1,19,7,w3,440
19/01/2017 08:00,2017,jan,1,19,8,w3,441
19/01/2017 09:00,2017,jan,1,19,9,w3,442
19/01/2017 10:00,2017,jan,1,19,10,w3,443
19/01/2017 11:00,2017,jan,1,19,11,w3,444
19/01/2017 12:00,2017,jan,1,19,12,w3,445
19/01/2017 13:00,2017,jan,1,19,13,w3,446
19/01/2017 14:00,2017,jan,1,19,14,w3,447
19/01/2017 15:00,2017,jan,1,19,15,w3,448
19/01/2017 16:00,2017,jan,1,19,16,w3,449
19/01/2017 17:00,2017,jan,1,19,17,w3,450
19/01/2017 18:00,2017,jan,1,19,18,w3,451
19/01/2017 19:00,2017,jan,1,19,19,w3,452
19/01/2017 20:00,2017,jan,1,19,20,w3,453
19/01/2017 21:00,2017,jan,1,19,21,w3,454
19/01/2017 22:00,2017,jan,1,19,22,w3,455
19/01/2017 23:00,2017,jan,1,19,23,w3,456
20/01/2017 00:00,2017,jan,1,20,0,w3,457
20/01/2017 01:00,2017,jan,1,20,1,w3,458
20/01/2017 02:00,2017,jan,1,20,2,w3,459
20/01/2017 03:00,2017,jan,1,20,3,w3,460
20/01/2017 04:00,2017,jan,1,20,4,w3,461
20/01/2017 05:00,2017,jan,1,20,5,w3,462
20/01/2017 06:00,2017,jan,1,20,6,w3,463
20/01/2017 07:00,2017,jan,1,20,7,w3,464
20/01/2017 08:00,2017,jan,1,20,8,w3,465
20/01/2017 09:00,2017,jan,1,20,9,w3,466
20/01/2017 10:00,2017,jan,1,20,10,w3,467
20/01/2017 11:00,2017,jan,1,20,11,w3,468
20/01/2017 12:00,2017,jan,1,20,12,w3,469
20/01/2017 13:00,2017,jan,1,20,13,w3,470
20/01/2017 14:00,2017,jan,1,20,14,w3,471
20/01/2017 15:00,2017,jan,1,20,15,w3,472
20/01/2017 16:00,2017,jan,1,20,16,w3,473
20/01/2017 17:00,2017,jan,1,20,17,w3,474
20/01/2017 18:00,2017,jan,1,20,18,w3,475
20/01/2017 19:00,2017,jan,1,20,19,w3,476
20/01/2017 20:00,2017,jan,1,20,20,w3,477
20/01/2017 21:00,2017,jan,1,20,21,w3,478
20/01/2017 22:00,2017,jan,1,20,22,w3,479
20/01/2017 23:00,2017,jan,1,20,23,w3,480
21/01/2017 00:00,2017,jan,1,21,0,w3,481
21/01/2017 01:00,2017,jan,1,21,1,w3,482
21/01/2017 02:00,2017,jan,1,21,2,w3,483
21/01/2017 03:00,2017,jan,1,21,3,w3,484
21/01/2017 04:00,2017,jan,1,21,4,w3,485
21/01/2017 05:00,2017,jan,1,21,5,w3,486
21/01/2017 06:00,2017,jan,1,21,6,w3,487
21/01/2017 07:00,2017,jan,1,21,7,w3,488
21/01/2017 08:00,2017,jan,1,21,8,w3,489
21/01/2017 09:00,2017,jan,1,21,9,w3,490
21/01/2017 10:00,2017,jan,1,21,10,w3,491
21/01/2017 11:00,2017,jan,1,21,11,w3,492
21/01/2017 12:00,2017,jan,1,21,12,w3,493
21/01/2017 13:00,2017,jan,1,21,13,w3,494
21/01/2017 14:00,2017,jan,1,21,14,w3,495
21/01/2017 15:00,2017,jan,1,21,15,w3,496
21/01/2017 16:00,2017,jan,1,21,16,w3,497
