,scenario,year,climateyear,country_sym,technology,GWh
411,Historic,2018,2018,ES,Solar,12023.772
412,Historic,2018,2018,ES,WindOff,0
413,Historic,2018,2018,ES,WindOn,48906.68
461,Historic,2018,2018,FI,Biomass,6405.37611
462,Historic,2018,2018,FI,Coal,5970.93744
463,Historic,2018,2018,FI,Gas,4999.8397
464,Historic,2018,2018,FI,Nuclear,21883.97093
465,Historic,2018,2018,FI,Oil,4291.45292
466,Historic,2018,2018,FI,Other,1973.74072
467,Historic,2018,2018,FI,RoR,12517.72847
468,Historic,2018,2018,FI,WindOn,5386.65337
504,Historic,2018,2018,FR,Biomass,3488.515
505,Historic,2018,2018,FR,Coal,5799.727
506,Historic,2018,2018,FR,Dam,17671.649
507,Historic,2018,2018,FR,Gas,29915.757
508,Historic,2018,2018,FR,Nuclear,391653.147
509,Historic,2018,2018,FR,Oil,1898.522
510,Historic,2018,2018,FR,Other,2024.318
511,Historic,2018,2018,FR,PSP,5416.326
512,Historic,2018,2018,FR,RoR,42832.54
513,Historic,2018,2018,FR,Solar,9723.521
514,Historic,2018,2018,FR,WindOn,26793.828
559,Historic,2018,2018,GB,Biomass,16072.209
560,Historic,2018,2018,GB,Coal,15978.05645
561,Historic,2018,2018,GB,Gas,117019.3348
562,Historic,2018,2018,GB,Nuclear,60545.81325
563,Historic,2018,2018,GB,Oil,4.623315
564,Historic,2018,2018,GB,Other,715.35891
565,Historic,2018,2018,GB,PSP,2547.91375
566,Historic,2018,2018,GB,RoR,3197.28025
567,Historic,2018,2018,GB,Solar,11195.9255
568,Historic,2018,2018,GB,WindOff,15435.56936
569,Historic,2018,2018,GB,WindOn,28815.21445
608,Historic,2018,2018,GR,Gas,15234.488
609,Historic,2018,2018,GR,Lignite,15212.609
610,Historic,2018,2018,GR,Oil,0
611,Historic,2018,2018,GR,Solar,3419.49
612,Historic,2018,2018,GR,WindOn,4858.823
628,Historic,2018,2018,HR,Biomass,0.04
629,Historic,2018,2018,HR,Coal,0.19958
630,Historic,2018,2018,HR,Dam,0.17292
631,Historic,2018,2018,HR,Gas,0.20737
632,Historic,2018,2018,HR,Oil,0.01676
633,Historic,2018,2018,HR,Other,0.046
634,Historic,2018,2018,HR,PSP,0
635,Historic,2018,2018,HR,RoR,0.08752
636,Historic,2018,2018,HR,Solar,0
637,Historic,2018,2018,HR,WindOn,0.41466
677,Historic,2018,2018,HU,Biomass,910.0929
678,Historic,2018,2018,HU,Dam,96.89368417
679,Historic,2018,2018,HU,Gas,6242.13534
680,Historic,2018,2018,HU,Lignite,4775.578973
681,Historic,2018,2018,HU,Nuclear,14804.676
682,Historic,2018,2018,HU,Oil,4.127070833
683,Historic,2018,2018,HU,Other,901.9810225
684,Historic,2018,2018,HU,RoR,82.844885
685,Historic,2018,2018,HU,WindOn,570.0868067
725,Historic,2018,2018,IE,Coal,2131.842045
726,Historic,2018,2018,IE,Gas,9433.422575
727,Historic,2018,2018,IE,Oil,4456.20917
728,Historic,2018,2018,IE,Other,14.596995
729,Historic,2018,2018,IE,PSP,630.00702
730,Historic,2018,2018,IE,RoR,640.074175
731,Historic,2018,2018,IE,WindOn,8673.17843
763,Historic,2018,2018,IT,Biomass,3490.126
764,Historic,2018,2018,IT,Coal,25836.011
765,Historic,2018,2018,IT,Dam,8575.404
766,Historic,2018,2018,IT,Gas,76427.067
767,Historic,2018,2018,IT,Oil,974.437
768,Historic,2018,2018,IT,Other,65533.003
769,Historic,2018,2018,IT,PSP,3193.492
770,Historic,2018,2018,IT,RoR,35850.896
771,Historic,2018,2018,IT,Solar,17793.923
772,Historic,2018,2018,IT,WindOn,17314.4
811,Historic,2018,2018,LT,Biomass,381.58051
812,Historic,2018,2018,LT,Gas,261.3744
813,Historic,2018,2018,LT,Other,421.90423
814,Historic,2018,2018,LT,PSP,522.90647
815,Historic,2018,2018,LT,RoR,439.30669
816,Historic,2018,2018,LT,Solar,75.8954
817,Historic,2018,2018,LT,WindOn,1128.93017
844,Historic,2018,2018,LV,Biomass,660.267
845,Historic,2018,2018,LV,Gas,2647.017
846,Historic,2018,2018,LV,Other,703.428
847,Historic,2018,2018,LV,RoR,2363.367
848,Historic,2018,2018,LV,WindOn,104.324
873,Historic,2018,2018,NL,Biomass,108.933755
874,Historic,2018,2018,NL,Coal,27199.8182
875,Historic,2018,2018,NL,Gas,36997.0034
876,Historic,2018,2018,NL,Nuclear,3328.65773
877,Historic,2018,2018,NL,Other,19806.63137
878,Historic,2018,2018,NL,RoR,0
879,Historic,2018,2018,NL,Solar,0.239575
880,Historic,2018,2018,NL,WindOff,3621.097197
881,Historic,2018,2018,NL,WindOn,2923.523108
914,Historic,2018,2018,NO,Dam,128118.6073
915,Historic,2018,2018,NO,Gas,3061.9438
916,Historic,2018,2018,NO,Other,1128.52553
917,Historic,2018,2018,NO,RoR,10012.49765
918,Historic,2018,2018,NO,WindOn,3380.74807
946,Historic,2018,2018,PL,Biomass,1800.87308
947,Historic,2018,2018,PL,Coal,79679.54808
948,Historic,2018,2018,PL,Dam,103.01852
949,Historic,2018,2018,PL,Gas,9227.10648
950,Historic,2018,2018,PL,Lignite,44690.92262
951,Historic,2018,2018,PL,Oil,1572.64887
952,Historic,2018,2018,PL,PSP,632.61736
953,Historic,2018,2018,PL,RoR,1469.98409
954,Historic,2018,2018,PL,WindOn,12325.17628
993,Historic,2018,2018,PT,Biomass,2446.4306
994,Historic,2018,2018,PT,Coal,11165.7234
995,Historic,2018,2018,PT,Dam,2981.6761
996,Historic,2018,2018,PT,Gas,14530.7348
997,Historic,2018,2018,PT,Other,565.3966
998,Historic,2018,2018,PT,PSP,3110.1941
999,Historic,2018,2018,PT,RoR,7314.0877
1000,Historic,2018,2018,PT,Solar,827.0426
1001,Historic,2018,2018,PT,WindOn,12351.0705
1040,Historic,2018,2018,RO,Biomass,349.95758
1041,Historic,2018,2018,RO,Coal,1185.85631
1042,Historic,2018,2018,RO,Dam,6798.40808
1043,Historic,2018,2018,RO,Gas,10655.64714
1044,Historic,2018,2018,RO,Lignite,14588.232
1045,Historic,2018,2018,RO,Nuclear,11330.87758
1046,Historic,2018,2018,RO,RoR,10853.39688
1047,Historic,2018,2018,RO,Solar,1342.54351
1048,Historic,2018,2018,RO,WindOn,6206.234
1080,Historic,2018,2018,SE,Dam,62110.056
1081,Historic,2018,2018,SE,Nuclear,65787.279
1082,Historic,2018,2018,SE,Other,8334.484
1083,Historic,2018,2018,SE,WindOn,16302.769
1106,Historic,2018,2018,SI,Biomass,77.61198
1107,Historic,2018,2018,SI,Gas,281.01917
1108,Historic,2018,2018,SI,Lignite,4149.95351
1109,Historic,2018,2018,SI,Nuclear,5488.03609
1110,Historic,2018,2018,SI,Oil,0.03313
1111,Historic,2018,2018,SI,Other,91.45381
1112,Historic,2018,2018,SI,PSP,187.86898
1113,Historic,2018,2018,SI,RoR,4566.39049
1114,Historic,2018,2018,SI,Solar,245.71841
1115,Historic,2018,2018,SI,WindOn,5.20919
1158,Historic,2018,2018,SK,Biomass,593.8402
1159,Historic,2018,2018,SK,Coal,807.0682
1160,Historic,2018,2018,SK,Dam,133.54323
1161,Historic,2018,2018,SK,Gas,1407.2196
1162,Historic,2018,2018,SK,Lignite,1332.6681
1163,Historic,2018,2018,SK,Nuclear,14658.9329
1164,Historic,2018,2018,SK,Oil,444.9882
1165,Historic,2018,2018,SK,Other,3274.1395
1166,Historic,2018,2018,SK,PSP,255.22342
1167,Historic,2018,2018,SK,RoR,3123.1078
1168,Historic,2018,2018,SK,Solar,492.8385
1169,Historic,2018,2018,SK,WindOn,0
20,Historic,2019,2019,AT,Biomass,2181.411
21,Historic,2019,2019,AT,Coal,1250.2486
22,Historic,2019,2019,AT,Dam,4955.5695
23,Historic,2019,2019,AT,Gas,9873.4682
24,Historic,2019,2019,AT,Oil,0
25,Historic,2019,2019,AT,Other,1069.3332
26,Historic,2019,2019,AT,PSP,4375.4909
27,Historic,2019,2019,AT,RoR,27125.1077
28,Historic,2019,2019,AT,Solar,1338.328
29,Historic,2019,2019,AT,WindOn,7967.986
72,Historic,2019,2019,BE,Biomass,2377.76668
73,Historic,2019,2019,BE,Coal,0
74,Historic,2019,2019,BE,Gas,23470.84569
75,Historic,2019,2019,BE,Nuclear,41423.42216
76,Historic,2019,2019,BE,Oil,2.16224
77,Historic,2019,2019,BE,Other,7703.17917
78,Historic,2019,2019,BE,PSP,865.71018
79,Historic,2019,2019,BE,RoR,155.76101
80,Historic,2019,2019,BE,Solar,3529.17158
81,Historic,2019,2019,BE,WindOff,4676.45488
82,Historic,2019,2019,BE,WindOn,3362.03455
125,Historic,2019,2019,BG,Biomass,233.335
126,Historic,2019,2019,BG,Coal,524.611
127,Historic,2019,2019,BG,Dam,1802.797
128,Historic,2019,2019,BG,Gas,2196.819
129,Historic,2019,2019,BG,Lignite,18408.022
130,Historic,2019,2019,BG,Nuclear,16558.383
131,Historic,2019,2019,BG,Other,30.587
132,Historic,2019,2019,BG,PSP,417.577
133,Historic,2019,2019,BG,RoR,1091.826
134,Historic,2019,2019,BG,Solar,1333.238
135,Historic,2019,2019,BG,WindOn,1251.567
170,Historic,2019,2019,CH,Dam,11861.58402
171,Historic,2019,2019,CH,Nuclear,25723.6827
172,Historic,2019,2019,CH,PSP,7679.11368
173,Historic,2019,2019,CH,RoR,1946.66302
174,Historic,2019,2019,CH,Solar,419.50953
175,Historic,2019,2019,CH,WindOn,79.98289
212,Historic,2019,2019,CZ,Biomass,1953.17343
213,Historic,2019,2019,CZ,Coal,1995.23411
214,Historic,2019,2019,CZ,Dam,1076.69263
215,Historic,2019,2019,CZ,Gas,6841.14893
216,Historic,2019,2019,CZ,Lignite,31736.56692
217,Historic,2019,2019,CZ,Nuclear,28575.04368
