,scenario,year,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
187,Historic,2017,IT,Gas,Gas,YES,40814,0.53,0.205,4.6,0,IT_Gas
188,Historic,2017,IT,Lignite,Lignite,YES,0,0.37,0.364,8.3,0,IT_Lignite
189,Historic,2017,IT,Oil,Oil,YES,4928,0.4,0.28,1.5,0,IT_Oil
190,Historic,2017,IT,Other,Other,NO,2820,0.45,0.375,0,0,IT_Other
191,Historic,2017,IT,PSClosed,Hydro,NO,3789.22234,0.75,0,0,0,IT_PSClosed
192,Historic,2017,IT,PSOpen,Hydro,NO,3377.227093,0.75,0,0,0,IT_PSOpen
193,Historic,2017,IT,RoR,Hydro,NO,10389,1,0,2.6,0,IT_RoR
194,Historic,2017,IT,Solar,RES,NO,4659,1,0,0,0,IT_Solar
195,Historic,2017,IT,WindOff,RES,NO,0,1,0,0,0,IT_WindOff
196,Historic,2017,IT,WindOn,RES,NO,9024,1,0,0,0,IT_WindOn
197,Historic,2017,LT,Biomass,Biomass,YES,101,0.36,0,2.6,0,LT_Biomass
198,Historic,2017,LT,Dam,Hydro,NO,0,1,0,2.6,0,LT_Dam
199,Historic,2017,LT,Gas,Gas,YES,1656,0.53,0.205,4.6,0,LT_Gas
200,Historic,2017,LT,Oil,Oil,YES,160,0.4,0.28,1.5,0,LT_Oil
201,Historic,2017,LT,Other,Other,NO,140,0.45,0.375,0,0,LT_Other
202,Historic,2017,LT,PSClosed,Hydro,NO,900,0.75,0,0,0,LT_PSClosed
203,Historic,2017,LT,PSOpen,Hydro,NO,0,0.75,0,0,0,LT_PSOpen
204,Historic,2017,LT,RoR,Hydro,NO,128,1,0,2.6,0,LT_RoR
205,Historic,2017,LT,Solar,RES,NO,80,1,0,0,0,LT_Solar
206,Historic,2017,LT,WindOn,RES,NO,426,1,0,0,0,LT_WindOn
207,Historic,2017,LV,Biomass,Biomass,YES,105.37,0.36,0,2.6,0,LV_Biomass
208,Historic,2017,LV,Dam,Hydro,NO,1557,1,0,2.6,0,LV_Dam
209,Historic,2017,LV,Gas,Gas,YES,1123.79,0.53,0.205,4.6,0,LV_Gas
210,Historic,2017,LV,PSClosed,Hydro,NO,0,0.75,0,0,0,LV_PSClosed
211,Historic,2017,LV,PSOpen,Hydro,NO,0,0.75,0,0,0,LV_PSOpen
212,Historic,2017,LV,RoR,Hydro,NO,1538.62,1,0,2.6,0,LV_RoR
213,Historic,2017,LV,WindOn,RES,NO,53.15,1,0,0,0,LV_WindOn
214,Historic,2017,NL,Biomass,Biomass,YES,486,0.36,0,2.6,0,NL_Biomass
215,Historic,2017,NL,Coal,Coal,YES,4608,0.38,0.349,6.6,0,NL_Coal
216,Historic,2017,NL,Dam,Hydro,NO,0,1,0,2.6,0,NL_Dam
217,Historic,2017,NL,Gas,Gas,YES,19297,0.53,0.205,4.6,0,NL_Gas
218,Historic,2017,NL,Lignite,Lignite,YES,0,0.37,0.364,8.3,0,NL_Lignite
219,Historic,2017,NL,Nuclear,Uran,NO,486,0.36,0,1.8,0,NL_Nuclear
220,Historic,2017,NL,Oil,Oil,YES,0,0.4,0.28,1.5,0,NL_Oil
221,Historic,2017,NL,Other,Other,NO,678,0.45,0.375,0,0,NL_Other
222,Historic,2017,NL,PSClosed,Hydro,NO,0,0.75,0,0,0,NL_PSClosed
223,Historic,2017,NL,PSOpen,Hydro,NO,0,0.75,0,0,0,NL_PSOpen
224,Historic,2017,NL,RoR,Hydro,NO,38,1,0,2.6,0,NL_RoR
225,Historic,2017,NL,Solar,RES,NO,2039,1,0,0,0,NL_Solar
226,Historic,2017,NL,WindOff,RES,NO,638,1,0,0,0,NL_WindOff
227,Historic,2017,NL,WindOn,RES,NO,3479,1,0,0,0,NL_WindOn
228,Historic,2017,NO,Dam,Hydro,NO,26909.5,1,0,2.6,0,NO_Dam
229,Historic,2017,NO,Gas,Gas,YES,610.7,0.53,0.205,4.6,0,NO_Gas
230,Historic,2017,NO,Other,Other,NO,0,0.45,0.375,0,0,NO_Other
231,Historic,2017,NO,PSClosed,Hydro,NO,0,0.75,0,0,0,NO_PSClosed
232,Historic,2017,NO,PSOpen,Hydro,NO,33776.9,0.75,0,0,0,NO_PSOpen
233,Historic,2017,NO,RoR,Hydro,NO,1351.8,1,0,2.6,0,NO_RoR
234,Historic,2017,NO,WindOn,RES,NO,872.6,1,0,0,0,NO_WindOn
235,Historic,2017,PL,Biomass,Biomass,YES,500.58,0.36,0,2.6,0,PL_Biomass
236,Historic,2017,PL,Coal,Coal,YES,18094.23,0.38,0.349,6.6,0,PL_Coal
237,Historic,2017,PL,Dam,Hydro,NO,183.8,1,0,2.6,0,PL_Dam
238,Historic,2017,PL,Gas,Gas,YES,1595.87,0.53,0.205,4.6,0,PL_Gas
239,Historic,2017,PL,Lignite,Lignite,YES,8213.66,0.37,0.364,8.3,0,PL_Lignite
240,Historic,2017,PL,Oil,Oil,YES,345,0.4,0.28,1.5,0,PL_Oil
241,Historic,2017,PL,PSClosed,Hydro,NO,1323.1,0.75,0,0,0,PL_PSClosed
242,Historic,2017,PL,PSOpen,Hydro,NO,178.8,0.75,0,0,0,PL_PSOpen
243,Historic,2017,PL,RoR,Hydro,NO,395.9,1,0,2.6,0,PL_RoR
244,Historic,2017,PL,Solar,RES,NO,186.55,1,0,0,0,PL_Solar
245,Historic,2017,PL,WindOn,RES,NO,6026.06,1,0,0,0,PL_WindOn
246,Historic,2017,PT,Biomass,Biomass,YES,598,0.36,0,2.6,0,PT_Biomass
247,Historic,2017,PT,Coal,Coal,YES,1756,0.38,0.349,6.6,0,PT_Coal
248,Historic,2017,PT,Dam,Hydro,NO,3491.5,1,0,2.6,0,PT_Dam
249,Historic,2017,PT,Gas,Gas,YES,4657.1,0.53,0.205,4.6,0,PT_Gas
250,Historic,2017,PT,Lignite,Lignite,YES,0,0.37,0.364,8.3,0,PT_Lignite
251,Historic,2017,PT,Nuclear,Uran,NO,0,0.36,0,1.8,0,PT_Nuclear
252,Historic,2017,PT,Oil,Oil,YES,0,0.4,0.28,1.5,0,PT_Oil
253,Historic,2017,PT,Other,Other,NO,60,0.45,0.375,0,0,PT_Other
254,Historic,2017,PT,PSClosed,Hydro,NO,0,0.75,0,0,0,PT_PSClosed
255,Historic,2017,PT,PSOpen,Hydro,NO,2952,0.75,0,0,0,PT_PSOpen
256,Historic,2017,PT,RoR,Hydro,NO,2844.1,1,0,2.6,0,PT_RoR
257,Historic,2017,PT,Solar,RES,NO,261.2,1,0,0,0,PT_Solar
258,Historic,2017,PT,WindOff,RES,NO,0,1,0,0,0,PT_WindOff
259,Historic,2017,PT,WindOn,RES,NO,5028,1,0,0,0,PT_WindOn
260,Historic,2017,RO,Biomass,Biomass,YES,115,0.36,0,2.6,0,RO_Biomass
261,Historic,2017,RO,Coal,Coal,YES,1232,0.38,0.349,6.6,0,RO_Coal
262,Historic,2017,RO,Dam,Hydro,NO,2640.735251,1,0,2.6,0,RO_Dam
263,Historic,2017,RO,Gas,Gas,YES,5020,0.53,0.205,4.6,0,RO_Gas
