,scenario,year,climateyear,country_sym,technology,fuel,CHP,MW,efficiency,emission_factor,var_costs,bat_roundtrip_eff,id
497,Historic,2018,2018,IT,PSOpen,Hydro,NO,3045.0253498811726,0.75,0.0,0.0,0.0,IT_PSOpen
498,Historic,2018,2018,IT,RoR,Hydro,NO,10826.0,1.0,0.0,2.6,0.0,IT_RoR
499,Historic,2018,2018,IT,Solar,RES,NO,4719.0,1.0,0.0,0.0,0.0,IT_Solar
500,Historic,2018,2018,IT,WindOff,RES,NO,0.0,1.0,0.0,0.0,0.0,IT_WindOff
501,Historic,2018,2018,IT,WindOn,RES,NO,9261.0,1.0,0.0,0.0,0.0,IT_WindOn
502,Historic,2018,2018,LT,Biomass,Biomass,YES,102.0,0.45,0.0,2.6,0.0,LT_Biomass
503,Historic,2018,2018,LT,Dam,Hydro,NO,0.0,1.0,0.0,2.6,0.0,LT_Dam
504,Historic,2018,2018,LT,Gas,Gas,YES,1873.0,0.6,0.227848,4.6,0.0,LT_Gas
505,Historic,2018,2018,LT,Oil,Oil,YES,0.0,0.4,0.32,1.5,0.0,LT_Oil
506,Historic,2018,2018,LT,Other,Other,NO,59.0,0.45,0.375,0.0,0.0,LT_Other
507,Historic,2018,2018,LT,PSClosed,Hydro,NO,900.0,0.75,0.0,0.0,0.0,LT_PSClosed
508,Historic,2018,2018,LT,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,LT_PSOpen
509,Historic,2018,2018,LT,RoR,Hydro,NO,128.0,1.0,0.0,2.6,0.0,LT_RoR
510,Historic,2018,2018,LT,Solar,RES,NO,82.0,1.0,0.0,0.0,0.0,LT_Solar
511,Historic,2018,2018,LT,WindOn,RES,NO,509.0,1.0,0.0,0.0,0.0,LT_WindOn
512,Historic,2018,2018,LV,Biomass,Biomass,YES,105.0,0.45,0.0,2.6,0.0,LV_Biomass
513,Historic,2018,2018,LV,Dam,Hydro,NO,1557.0,1.0,0.0,2.6,0.0,LV_Dam
514,Historic,2018,2018,LV,Gas,Gas,YES,1124.0,0.6,0.227848,4.6,0.0,LV_Gas
515,Historic,2018,2018,LV,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,LV_PSClosed
516,Historic,2018,2018,LV,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,LV_PSOpen
517,Historic,2018,2018,LV,RoR,Hydro,NO,1539.0,1.0,0.0,2.6,0.0,LV_RoR
518,Historic,2018,2018,LV,WindOn,RES,NO,53.0,1.0,0.0,0.0,0.0,LV_WindOn
519,Historic,2018,2018,NL,Biomass,Biomass,YES,489.0,0.45,0.0,2.6,0.0,NL_Biomass
520,Historic,2018,2018,NL,Coal,Coal,YES,4631.0,0.46,0.383333,6.6,0.0,NL_Coal
521,Historic,2018,2018,NL,Dam,Hydro,NO,0.0,1.0,0.0,2.6,0.0,NL_Dam
522,Historic,2018,2018,NL,Gas,Gas,YES,18433.0,0.6,0.227848,4.6,0.0,NL_Gas
523,Historic,2018,2018,NL,Lignite,Lignite,YES,0.0,0.43,0.485379,8.3,0.0,NL_Lignite
524,Historic,2018,2018,NL,Nuclear,Uran,NO,486.0,0.43,0.0,11.25,0.0,NL_Nuclear
525,Historic,2018,2018,NL,Oil,Oil,YES,0.0,0.4,0.32,1.5,0.0,NL_Oil
526,Historic,2018,2018,NL,Other,Other,NO,683.0,0.45,0.375,0.0,0.0,NL_Other
527,Historic,2018,2018,NL,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,NL_PSClosed
528,Historic,2018,2018,NL,PSOpen,Hydro,NO,0.0,0.75,0.0,0.0,0.0,NL_PSOpen
529,Historic,2018,2018,NL,RoR,Hydro,NO,38.0,1.0,0.0,2.6,0.0,NL_RoR
530,Historic,2018,2018,NL,Solar,RES,NO,2584.0,1.0,0.0,0.0,0.0,NL_Solar
531,Historic,2018,2018,NL,WindOff,RES,NO,957.0,1.0,0.0,0.0,0.0,NL_WindOff
532,Historic,2018,2018,NL,WindOn,RES,NO,3675.0,1.0,0.0,0.0,0.0,NL_WindOn
533,Historic,2018,2018,NO,Dam,Hydro,NO,26818.6,1.0,0.0,2.6,0.0,NO_Dam
534,Historic,2018,2018,NO,Gas,Gas,YES,634.6,0.6,0.227848,4.6,0.0,NO_Gas
535,Historic,2018,2018,NO,Other,Other,NO,0.0,0.45,0.375,0.0,0.0,NO_Other
536,Historic,2018,2018,NO,PSClosed,Hydro,NO,0.0,0.75,0.0,0.0,0.0,NO_PSClosed
537,Historic,2018,2018,NO,PSOpen,Hydro,NO,33776.899999999994,0.75,0.0,0.0,0.0,NO_PSOpen
538,Historic,2018,2018,NO,RoR,Hydro,NO,1327.9,1.0,0.0,2.6,0.0,NO_RoR
539,Historic,2018,2018,NO,WindOn,RES,NO,1196.6,1.0,0.0,0.0,0.0,NO_WindOn
540,Historic,2018,2018,PL,Biomass,Biomass,YES,602.51,0.45,0.0,2.6,0.0,PL_Biomass
541,Historic,2018,2018,PL,Coal,Coal,YES,20075.94,0.46,0.383333,6.6,0.0,PL_Coal
542,Historic,2018,2018,PL,Dam,Hydro,NO,183.8,1.0,0.0,2.6,0.0,PL_Dam
543,Historic,2018,2018,PL,Gas,Gas,YES,2297.87,0.6,0.227848,4.6,0.0,PL_Gas
544,Historic,2018,2018,PL,Lignite,Lignite,YES,8559.46,0.43,0.485379,8.3,0.0,PL_Lignite
545,Historic,2018,2018,PL,Oil,Oil,YES,415.0,0.4,0.32,1.5,0.0,PL_Oil
546,Historic,2018,2018,PL,PSClosed,Hydro,NO,1323.1,0.75,0.0,0.0,0.0,PL_PSClosed
