,country_sym,week,dam_inflow_MWh,pump_inflow_MWh
469,FR,w46,240944.0,0.0
470,FR,w47,232211.0,0.0
471,FR,w48,299869.0,0.0
472,FR,w49,322196.0,0.0
473,FR,w50,308266.0,0.0
474,FR,w51,276051.0,0.0
475,FR,w52,232338.0,0.0
476,FR,w53,253869.0,0.0
477,GB,w1,0.0,0.0
478,GB,w2,0.0,0.0
479,GB,w3,0.0,0.0
480,GB,w4,0.0,0.0
481,GB,w5,0.0,0.0
482,GB,w6,0.0,0.0
483,GB,w7,0.0,0.0
484,GB,w8,0.0,0.0
485,GB,w9,0.0,0.0
486,GB,w10,0.0,0.0
487,GB,w11,0.0,0.0
488,GB,w12,0.0,0.0
489,GB,w13,0.0,0.0
490,GB,w14,0.0,0.0
491,GB,w15,0.0,0.0
492,GB,w16,0.0,0.0
493,GB,w17,0.0,0.0
494,GB,w18,0.0,0.0
495,GB,w19,0.0,0.0
496,GB,w20,0.0,0.0
497,GB,w21,0.0,0.0
498,GB,w22,0.0,0.0
499,GB,w23,0.0,0.0
500,GB,w24,0.0,0.0
501,GB,w25,0.0,0.0
502,GB,w26,0.0,0.0
503,GB,w27,0.0,0.0
504,GB,w28,0.0,0.0
505,GB,w29,0.0,0.0
506,GB,w30,0.0,0.0
507,GB,w31,0.0,0.0
508,GB,w32,0.0,0.0
509,GB,w33,0.0,0.0
510,GB,w34,0.0,0.0
511,GB,w35,0.0,0.0
512,GB,w36,0.0,0.0
513,GB,w37,0.0,0.0
514,GB,w38,0.0,0.0
515,GB,w39,0.0,0.0
516,GB,w40,0.0,0.0
517,GB,w41,0.0,0.0
518,GB,w42,0.0,0.0
519,GB,w43,0.0,0.0
520,GB,w44,0.0,0.0
521,GB,w45,0.0,0.0
522,GB,w46,0.0,0.0
523,GB,w47,0.0,0.0
524,GB,w48,0.0,0.0
525,GB,w49,0.0,0.0
526,GB,w50,0.0,0.0
527,GB,w51,0.0,0.0
528,GB,w52,0.0,0.0
529,GB,w53,0.0,0.0
530,GR,w1,73680.282,11451.84136
