country_sym,week,PSClosed,PSOpen,Dam
RO,w7,0,0.396671036,0.396671036
RO,w8,0,0.40862962,0.40862962
RO,w9,0,0.426904815,0.426904815
RO,w10,0,0.435171004,0.435171004
RO,w11,0,0.460356184,0.460356184
RO,w12,0,0.487644147,0.487644147
RO,w13,0,0.49197894,0.49197894
RO,w14,0,0.490012843,0.490012843
RO,w15,0,0.480972631,0.480972631
RO,w16,0,0.523537483,0.523537483
RO,w17,0,0.622307307,0.622307307
RO,w18,0,0.706086403,0.706086403
RO,w19,0,0.766796159,0.766796159
RO,w20,0,0.805093096,0.805093096
RO,w21,0,0.825307478,0.825307478
RO,w22,0,0.845306305,0.845306305
RO,w23,0,0.848343778,0.848343778
RO,w24,0,0.862441382,0.862441382
RO,w25,0,0.846807723,0.846807723
RO,w26,0,0.8509211,0.8509211
RO,w27,0,0.851888562,0.851888562
RO,w28,0,0.830879375,0.830879375
RO,w29,0,0.829654261,0.829654261
RO,w30,0,0.813773074,0.813773074
RO,w31,0,0.826391376,0.826391376
RO,w32,0,0.831724805,0.831724805
RO,w33,0,0.833479878,0.833479878
RO,w34,0,0.822656883,0.822656883
RO,w35,0,0.823011255,0.823011255
RO,w36,0,0.817352762,0.817352763
RO,w37,0,0.810464094,0.810464094
RO,w38,0,0.800148143,0.800148143
RO,w39,0,0.786482713,0.786482713
RO,w40,0,0.770127787,0.770127787
RO,w41,0,0.74717595,0.74717595
RO,w42,0,0.746951869,0.746951869
RO,w43,0,0.74243243,0.74243243
RO,w44,0,0.73037606,0.73037606
RO,w45,0,0.733491868,0.733491868
RO,w46,0,0.716165217,0.716165217
RO,w47,0,0.710657,0.710657
RO,w48,0,0.709145724,0.709145724
RO,w49,0,0.72034494,0.72034494
RO,w50,0,0.720774449,0.720774449
RO,w51,0,0.724616319,0.724616319
RO,w52,0,0.725335721,0.725335721
SE,w1,0,0,0.500366847
SE,w2,0,0,0.476852316
SE,w3,0,0,0.455717365
SE,w4,0,0,0.429860853
SE,w5,0,0,0.396357852
